atom,x,y,z
C,19.676096,29.820002,0
C,19.676096,34.080002,0
C,19.676096,38.340002,0
C,22.135608,-42.600002,0
C,22.135608,-38.340002,0
C,22.135608,-34.080002,0
C,22.135608,-29.820002,0
C,22.135608,-25.560001,0
C,22.135608,-21.300001,0
C,22.135608,-17.040001,0
C,22.135608,-12.780001,0
C,22.135608,-8.52,0
C,22.135608,-4.26,0
C,22.135608,0,0
C,22.135608,4.26,0
C,22.135608,8.52,0
C,22.135608,12.780001,0
C,22.135608,17.040001,0
C,22.135608,21.300001,0
C,22.135608,25.560001,0
C,22.135608,29.820002,0
C,22.135608,34.080002,0
C,22.135608,38.340002,0
C,24.59512,-42.600002,0
C,24.59512,-38.340002,0
C,24.59512,-34.080002,0
C,24.59512,-29.820002,0
C,24.59512,-25.560001,0
C,24.59512,-21.300001,0
C,24.59512,-17.040001,0
C,24.59512,-12.780001,0
C,24.59512,-8.52,0
C,24.59512,-4.26,0
C,24.59512,0,0
C,24.59512,4.26,0
C,24.59512,8.52,0
C,24.59512,12.780001,0
C,24.59512,17.040001,0
C,24.59512,21.300001,0
C,24.59512,25.560001,0
C,24.59512,29.820002,0
C,24.59512,34.080002,0
C,24.59512,38.340002,0
C,27.054632,-42.600002,0
C,27.054632,-38.340002,0
C,27.054632,-34.080002,0
C,27.054632,-29.820002,0
C,27.054632,-25.560001,0
C,27.054632,-21.300001,0
C,27.054632,-17.040001,0
C,27.054632,-12.780001,0
C,27.054632,-8.52,0
C,27.054632,-4.26,0
C,27.054632,0,0
C,27.054632,4.26,0
C,27.054632,8.52,0
C,27.054632,12.780001,0
C,27.054632,17.040001,0
C,27.054632,21.300001,0
C,27.054632,25.560001,0
C,27.054632,29.820002,0
C,27.054632,34.080002,0
C,27.054632,38.340002,0
C,29.514144,-42.600002,0
C,29.514144,-38.340002,0
C,29.514144,-34.080002,0
C,29.514144,-29.820002,0
C,29.514144,-25.560001,0
C,29.514144,-21.300001,0
C,29.514144,-17.040001,0
C,29.514144,-12.780001,0
C,29.514144,-8.52,0
C,29.514144,-4.26,0
C,29.514144,0,0
C,29.514144,4.26,0
C,29.514144,8.52,0
C,29.514144,12.780001,0
C,29.514144,17.040001,0
C,29.514144,21.300001,0
C,29.514144,25.560001,0
C,29.514144,29.820002,0
C,29.514144,34.080002,0
C,29.514144,38.340002,0
C,31.973656,-42.600002,0
C,31.973656,-38.340002,0
C,31.973656,-34.080002,0
C,31.973656,-29.820002,0
C,31.973656,-25.560001,0
C,31.973656,-21.300001,0
C,31.973656,-17.040001,0
C,31.973656,-12.780001,0
C,31.973656,-8.52,0
C,31.973656,-4.26,0
C,31.973656,0,0
C,31.973656,4.26,0
C,31.973656,8.52,0
C,31.973656,12.780001,0
C,31.973656,17.040001,0
C,31.973656,21.300001,0
C,31.973656,25.560001,0
C,31.973656,29.820002,0
C,31.973656,34.080002,0
C,31.973656,38.340002,0
C,34.433168,-42.600002,0
C,34.433168,-38.340002,0
C,34.433168,-34.080002,0
C,34.433168,-29.820002,0
C,34.433168,-25.560001,0
C,34.433168,-21.300001,0
C,34.433168,-17.040001,0
C,34.433168,-12.780001,0
C,34.433168,-8.52,0
C,34.433168,-4.26,0
C,34.433168,0,0
C,34.433168,4.26,0
C,34.433168,8.52,0
C,34.433168,12.780001,0
C,34.433168,17.040001,0
C,34.433168,21.300001,0
C,34.433168,25.560001,0
C,34.433168,29.820002,0
C,34.433168,34.080002,0
C,34.433168,38.340002,0
C,36.89268,-42.600002,0
C,36.89268,-38.340002,0
C,36.89268,-34.080002,0
C,36.89268,-29.820002,0
C,36.89268,-25.560001,0
C,36.89268,-21.300001,0
C,36.89268,-17.040001,0
C,36.89268,-12.780001,0
C,36.89268,-8.52,0
C,36.89268,-4.26,0
C,36.89268,0,0
C,36.89268,4.26,0
C,36.89268,8.52,0
C,36.89268,12.780001,0
C,36.89268,17.040001,0
C,36.89268,21.300001,0
C,36.89268,25.560001,0
C,36.89268,29.820002,0
C,36.89268,34.080002,0
C,36.89268,38.340002,0
C,39.352192,-42.600002,0
C,39.352192,-38.340002,0
C,39.352192,-34.080002,0
C,39.352192,-29.820002,0
C,39.352192,-25.560001,0
C,39.352192,-21.300001,0
C,39.352192,-17.040001,0
C,39.352192,-12.780001,0
C,39.352192,-8.52,0
C,39.352192,-4.26,0
C,39.352192,0,0
C,39.352192,4.26,0
C,39.352192,8.52,0
C,39.352192,12.780001,0
C,39.352192,17.040001,0
C,39.352192,21.300001,0
C,39.352192,25.560001,0
C,39.352192,29.820002,0
C,39.352192,34.080002,0
C,39.352192,38.340002,0
C,-41.811704,-39.760001,0
C,-41.811704,-35.500001,0
C,-41.811704,-31.24,0
C,-41.811704,-26.98,0
C,-41.811704,-22.72,0
C,-41.811704,-18.46,0
C,-41.811704,-14.199999,0
C,-41.811704,-9.939999,0
C,-41.811704,-5.679999,0
C,-41.811704,-1.419999,0
C,-41.811704,2.840002,0
C,-41.811704,7.100002,0
C,-41.811704,11.360002,0
C,-41.811704,15.620002,0
C,-41.811704,19.880002,0
C,-41.811704,24.140003,0
C,-41.811704,28.400003,0
C,-41.811704,32.660003,0
C,-41.811704,36.920003,0
C,-41.811704,41.180004,0
C,-39.352192,-39.760001,0
C,-39.352192,-35.500001,0
C,-39.352192,-31.24,0
C,-39.352192,-26.98,0
C,-39.352192,-22.72,0
C,-39.352192,-18.46,0
C,-39.352192,-14.199999,0
C,-39.352192,-9.939999,0
C,-39.352192,-5.679999,0
C,-39.352192,-1.419999,0
C,-39.352192,2.840002,0
C,-39.352192,7.100002,0
C,-39.352192,11.360002,0
C,-39.352192,15.620002,0
C,-39.352192,19.880002,0
C,-39.352192,24.140003,0
C,-39.352192,28.400003,0
C,-39.352192,32.660003,0
C,-39.352192,36.920003,0
C,-39.352192,41.180004,0
C,-36.89268,-39.760001,0
C,-36.89268,-35.500001,0
C,-36.89268,-31.24,0
C,-36.89268,-26.98,0
C,-36.89268,-22.72,0
C,-36.89268,-18.46,0
C,-36.89268,-14.199999,0
C,-36.89268,-9.939999,0
C,-36.89268,-5.679999,0
C,-36.89268,-1.419999,0
C,-36.89268,2.840002,0
C,-36.89268,7.100002,0
C,-36.89268,11.360002,0
C,-36.89268,15.620002,0
C,-36.89268,19.880002,0
C,-36.89268,24.140003,0
C,-36.89268,28.400003,0
C,-36.89268,32.660003,0
C,-36.89268,36.920003,0
C,-36.89268,41.180004,0
C,-34.433168,-39.760001,0
C,-34.433168,-35.500001,0
C,-34.433168,-31.24,0
C,-34.433168,-26.98,0
C,-34.433168,-22.72,0
C,-34.433168,-18.46,0
C,-34.433168,-14.199999,0
C,-34.433168,-9.939999,0
C,-34.433168,-5.679999,0
C,-34.433168,-1.419999,0
C,-34.433168,2.840002,0
